Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-1-1,56,MODERATE,58,MODERATE,PM2.5,5,3,36,31,11,58,28,8,43,14,10,30,0,,230
2015-1-2,58,MODERATE,52,MODERATE,PM2.5,5,9,29,36,9,52,36,15,45,13,10,30.13,0,,260
2015-1-3,52,MODERATE,43,GOOD,PM2.5,3,4,29,36,6,43,30,20,72,10,6,30.54,0.62,Rain-Snow,81
2015-1-4,43,GOOD,38,GOOD,PM2.5,8,1,29,33,8,38,44,41,95,8,4,29.81,0.57,Fog-Rain,260
2015-1-5,38,GOOD,36,GOOD,Ozone,6,3,20,36,6,30,34,13,47,22,10,29.93,0,,280
2015-1-6,36,GOOD,42,GOOD,PM2.5,6,1,33,30,7,42,17,5,59,9,7,30.22,0.02,Snow,262
2015-1-7,42,GOOD,57,MODERATE,PM2.5,6,13,32,33,14,57,15,3,58,16,9,29.9,T,Snow,272
2015-1-8,57,MODERATE,49,GOOD,PM2.5,5,3,33,33,8,49,9,-8,49,14,10,30.25,0,,259
2015-1-9,49,GOOD,57,MODERATE,PM2.5,6,6,35,29,14,57,25,14,65,14,8,30,0.01,Snow,240
2015-1-10,57,MODERATE,60,MODERATE,PM2.5,6,3,33,33,10,60,21,3,49,12,10,30.34,0,,263
2015-1-11,60,MODERATE,63,MODERATE,PM2.5,6,7,29,31,16,63,24,6,49,10,10,30.58,0,,226
2015-1-12,63,MODERATE,67,MODERATE,PM2.5,7,7,40,31,19,67,36,28,72,9,7,30.23,0.2,Rain,242
2015-1-13,67,MODERATE,50,GOOD,PM2.5,6,6,32,34,7,50,25,5,56,11,10,30.52,0,,347
2015-1-14,50,GOOD,72,MODERATE,PM2.5,7,13,41,31,.,72,20,10,67,9,10,30.4,T,Snow,323
2015-1-15,72,MODERATE,61,MODERATE,PM2.5,6,17,38,32,8,61,28,24,78,10,5,30,0.12,Fog-Snow,302
2015-1-16,61,MODERATE,60,MODERATE,PM2.5,6,17,34,37,.,60,27,10,52,16,10,29.82,0,,263
2015-1-17,60,MODERATE,45,GOOD,PM2.5,5,17,33,38,.,45,16,-3,46,11,10,30.31,0,,253
2015-1-18,45,GOOD,53,MODERATE,PM2.5,9,4,43,42,14,53,36,35,80,10,10,29.93,0.15,Rain,164
2015-1-19,53,MODERATE,35,GOOD,Ozone,5,1,28,35,.,32,39,30,70,15,10,29.65,0,,262
2015-1-20,35,GOOD,40,GOOD,Ozone,5,1,32,40,.,37,33,13,44,14,10,29.83,0,,270
2015-1-21,40,GOOD,45,GOOD,PM2.5,5,6,39,36,14,45,28,14,57,7,10,30.15,0,,357
