Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure ,Precipitation ,Events ,Wind Direction
2015-1-1,48,GOOD,37,GOOD,PM2.5,5,17,22,26,19,37,23,10,59,15,10,30.16,0,,244
2015-1-2,37,GOOD,55,MODERATE,PM2.5,9,20,47,26,19,55,25,18,66,5,10,30.34,0,,184
2015-1-3,55,MODERATE,67,MODERATE,PM2.5,9,3,31,10,25,67,32,30,85,6,3,30.15,0.57,Rain-Snow,59
2015-1-4,67,MODERATE,68,MODERATE,PM2.5,8,20,43,31,19,68,18,18,77,16,4,30.53,0.13,Fog-Snow,316
2015-1-5,68,MODERATE,41,GOOD,NO2,6,16,41,28,25,40,2,-4,73,10,6,30.68,0.15,Snow,254
2015-1-6,41,GOOD,58,MODERATE,PM2.5,7,36,53,31,20,58,3,-1,81,14,8,30.42,0.01,Snow,307
2015-1-7,58,MODERATE,64,MODERATE,NO2,6,46,64,31,24,63,0,-12,60,17,10,30.83,0,,304
2015-1-8,64,MODERATE,44,GOOD,NO2,7,11,44,30,35,40,5,1,74,18,3,30.65,0.06,Snow,229
2015-1-9,44,GOOD,70,MODERATE,PM2.5,7,31,41,32,23,70,6,-4,65,17,8,30.46,T,Snow,284
2015-1-10,70,MODERATE,47,GOOD,PM2.5,7,27,34,29,28,47,11,2,70,12,10,30.47,0,,215
2015-1-11,47,GOOD,46,GOOD,PM2.5,7,4,29,24,26,46,27,22,73,8,5,30.29,0.19,Fog-Snow,215
2015-1-12,46,GOOD,59,MODERATE,PM2.5,9,6,27,35,26,59,22,12,72,13,9,30.7,T,Snow,340
2015-1-13,59,MODERATE,56,MODERATE,PM2.5,18,36,53,34,23,56,11,8,73,8,8,30.76,T,Snow,72
2015-1-14,56,MODERATE,87,MODERATE,PM2.5,10,29,57,27,66,87,10,7,79,6,9,30.45,T,Snow,226
2015-1-15,87,MODERATE,92,MODERATE,PM2.5,7,43,47,27,55,92,26,18,75,10,10,30.2,0,,237
2015-1-16,92,MODERATE,72,MODERATE,PM2.5,9,17,53,35,35,72,29,23,76,8,10,30.21,0,,118
2015-1-17,72,MODERATE,63,MODERATE,PM2.5,8,6,32,31,45,63,34,29,74,15,10,29.96,0,,219
2015-1-18,63,MODERATE,60,MODERATE,PM2.5,6,11,33,30,18,60,34,28,78,10,10,30.01,T,Snow,270
2015-1-19,60,MODERATE,55,MODERATE,PM2.5,11,14,54,29,27,55,33,27,82,5,10,30.04,T,Snow,92
2015-1-20,55,MODERATE,78,MODERATE,PM2.5,10,7,38,31,37,78,33,30,91,7,7,30.03,T,,36
2015-1-21,78,MODERATE,75,MODERATE,PM2.5,7,3,39,28,21,75,31,26,81,8,9,30.29,0.01,Snow,9
2015-1-22,75,MODERATE,59,MODERATE,PM2.5,6,6,38,26,31,59,30,23,75,7,10,30.45,0,,289
2015-1-23,59,MODERATE,52,MODERATE,PM2.5,3,9,36,25,32,52,30,23,77,12,10,30.35,0,,234
2015-1-24,52,MODERATE,71,MODERATE,PM2.5,7,23,28,25,28,71,36,28,77,8,10,29.79,0,,264
2015-1-25,71,MODERATE,48,GOOD,PM2.5,7,6,24,36,17,48,29,24,80,15,6,30.01,0.08,Snow,39
2015-1-26,48,GOOD,54,MODERATE,NO2,7,10,54,28,29,51,21,20,84,6,6,30.01,0.07,Snow,181
2015-1-27,54,MODERATE,61,MODERATE,PM2.5,8,21,45,39,27,61,26,21,73,6,9,30.29,T,Snow,35
