Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-1-1,81,MODERATE,54,MODERATE,NO2,13,6,54,44,22,51,14,8,75,7,7,30.16,0.23,Snow,216
2015-1-2,54,MODERATE,61,MODERATE,NO2,18,9,61,44,18,43,22,15,77,8,10,30.04,0,,180
2015-1-3,61,MODERATE,46,GOOD,NO2,20,10,46,44,16,45,16,12,80,10,7,30.04,0.11,Snow,96
2015-1-4,46,GOOD,65,MODERATE,NO2,15,7,65,45,21,62,14,5,73,6,10,30.41,0,,162
2015-1-5,65,MODERATE,94,MODERATE,NO2,23,11,94,43,25,63,27,22,57,8,10,30.15,0,,262
2015-1-6,94,MODERATE,48,GOOD,PM2.5,11,9,48,40,20,48,38,29,75,11,8,30.35,0,Fog-Snow,86
2015-1-7,48,GOOD,47,GOOD,PM2.5,9,3,41,44,10,47,24,17,85,7,7,30.62,0,Snow,149
2015-1-8,47,GOOD,65,MODERATE,NO2,9,13,65,44,25,27,36,24,62,13,9,30.15,0,Snow,97
2015-1-9,65,MODERATE,71,MODERATE,PM2.5,9,4,44,45,19,71,22,20,93,5,9,30.32,0,Snow,80
2015-1-10,71,MODERATE,62,MODERATE,PM2.5,17,9,47,44,29,62,38,24,58,6,10,29.94,0,,173
2015-1-11,62,MODERATE,53,MODERATE,PM2.5,23,6,45,38,19,53,34,27,77,7,10,30.04,0,Snow,81
2015-1-12,53,MODERATE,68,MODERATE,PM2.5,8,1,41,40,21,68,26,24,95,6,8,30.33,0,,41
2015-1-13,68,MODERATE,71,MODERATE,PM2.5,7,4,37,39,23,71,26,25,96,5,6,30.29,0.01,Fog-Snow,343
2015-1-14,71,MODERATE,66,MODERATE,PM2.5,15,11,51,48,31,66,31,23,75,4,10,30.23,0,,149
2015-1-15,66,MODERATE,64,MODERATE,NO2,17,7,64,49,53,54,40,16,44,10,10,30.24,0,,173
2015-1-16,64,MODERATE,80,MODERATE,NO2,20,7,80,49,51,63,45,10,25,10,10,29.93,0,,182
2015-1-17,80,MODERATE,45,GOOD,Ozone,8,3,44,45,13,15,42,9,28,16,10,30.08,0,,271
2015-1-18,45,GOOD,44,GOOD,Ozone,7,3,43,44,18,13,49,14,27,12,10,30,0,,234
2015-1-19,44,GOOD,52,MODERATE,NO2,8,4,52,42,24,28,45,23,46,9,10,29.99,0,Snow,120
2015-1-20,52,MODERATE,47,GOOD,NO2,7,3,47,45,19,37,31,24,79,7,8,30.15,0,Fog-Snow,92
2015-1-21,47,GOOD,44,GOOD,Ozone,7,1,42,44,10,26,21,20,92,5,6,30.3,0.07,Fog-Snow,163
2015-1-22,44,GOOD,60,MODERATE,NO2,14,6,60,45,31,47,22,9,63,9,10,30.37,0,,188
2015-1-23,60,MODERATE,48,GOOD,NO2,13,4,48,44,29,30,33,15,50,9,10,30.26,0,,177
2015-1-24,48,GOOD,45,GOOD,Ozone,10,6,45,45,33,24,38,19,49,12,10,30.07,0,,235
2015-1-25,45,GOOD,42,GOOD,Ozone,10,6,42,42,14,19,42,24,49,7,10,30.12,0,,260
2015-1-26,42,GOOD,55,MODERATE,NO2,13,6,55,47,37,41,53,23,38,10,10,30.15,0,,176
2015-1-27,55,MODERATE,60,MODERATE,NO2,11,9,60,47,48,41,58,24,36,12,10,29.99,0,,204
2015-1-28,60,MODERATE,53,MODERATE,PM10,10,4,43,43,53,25,46,23,45,10,10,30.03,0,,273
2015-1-29,53,MODERATE,42,GOOD,Ozone,7,1,40,42,19,39,39,26,62,8,10,30.4,0,,133
2015-1-30,42,GOOD,63,MODERATE,PM2.5,9,6,47,42,51,63,38,25,60,8,10,30.13,0,,300
2015-1-31,63,MODERATE,48,GOOD,PM2.5,7,3,38,43,19,48,31,29,88,3,7,29.88,0.05,Snow,359
2015-2-1,48,GOOD,46,GOOD,PM2.5,9,3,42,45,8,46,20,17,86,9,7,30.19,0.21,Snow,102
2015-2-2,46,GOOD,62,MODERATE,NO2,14,9,62,44,23,54,35,20,55,6,10,30.02,0,,210
2015-2-3,62,MODERATE,52,MODERATE,NO2,9,4,52,44,22,33,46,22,43,9,10,29.88,0,,183
2015-2-4,52,MODERATE,43,GOOD,Ozone,7,4,42,43,14,33,30,23,82,8,8,30.14,0.01,Snow,110
2015-2-5,43,GOOD,54,MODERATE,PM2.5,13,6,47,43,43,54,42,18,39,8,10,30.08,0,,206
2015-2-6,54,MODERATE,67,MODERATE,NO2,13,10,67,41,38,39,55,13,21,10,10,29.91,0,,205
2015-2-7,67,MODERATE,43,GOOD,Ozone,11,6,38,43,22,27,58,15,22,12,10,29.77,0,,234
2015-2-8,43,GOOD,49,GOOD,Ozone,8,4,48,49,16,18,52,19,33,10,10,29.99,0,,211
2015-2-9,49,GOOD,51,MODERATE,NO2,10,7,51,46,39,33,52,20,34,10,10,29.95,0,,189
2015-2-10,51,MODERATE,57,MODERATE,NO2,11,7,57,45,43,35,45,24,46,8,10,29.99,0,,90
2015-2-11,57,MODERATE,45,GOOD,Ozone,8,1,41,45,20,37,39,28,74,6,10,30.36,0.03,Snow,45
2015-2-12,45,GOOD,47,GOOD,Ozone,9,4,46,47,38,43,46,20,47,9,10,30.2,0,,182
2015-2-13,47,GOOD,52,MODERATE,NO2,11,9,52,45,46,42,48,24,42,7,10,30.18,0,,160
2015-2-14,52,MODERATE,45,GOOD,Ozone,10,6,43,45,35,35,50,20,35,8,10,30.01,0,,194
2015-2-15,45,GOOD,44,GOOD,Ozone,8,1,32,44,13,37,30,27,88,8,7,30.08,0.09,Snow,9
2015-2-16,44,GOOD,48,GOOD,PM2.5,7,1,45,41,6,48,22,24,97,5,4,30.17,0.23,Fog-Snow,353
2015-2-17,48,GOOD,45,GOOD,NO2,7,4,45,43,15,40,23,13,71,8,10,30.18,0,,164
2015-2-18,45,GOOD,54,MODERATE,PM2.5,11,7,54,44,25,54,30,16,58,7,10,30.16,0,,166
2015-2-19,54,MODERATE,61,MODERATE,NO2,14,9,61,44,34,48,46,20,40,8,10,29.91,0,,191
2015-2-20,61,MODERATE,48,GOOD,Ozone,8,9,47,48,32,41,41,27,69,9,9,29.82,0,Rain-Snow,332
2015-2-21,48,GOOD,43,GOOD,Ozone,5,1,29,43,5,28,22,24,97,7,4,30.05,0.43,Fog-Snow,54
2015-2-22,43,GOOD,45,GOOD,Ozone,5,0,28,45,5,30,10,6,87,9,2,30.45,0.18,Snow,29
2015-2-23,45,GOOD,72,MODERATE,PM2.5,9,3,58,61,26,72,10,6,81,4,8,30.41,0.02,Snow,63
2015-2-24,72,MODERATE,67,MODERATE,Ozone,13,6,62,67,19,43,27,10,51,10,10,30.13,0,,184
2015-2-25,67,MODERATE,46,GOOD,NO2,11,4,46,44,10,21,26,22,82,9,5,30.01,0.28,Fog-Snow,359
2015-2-26,46,GOOD,45,GOOD,Ozone,5,1,31,45,6,30,10,7,83,9,6,30.25,0.11,Snow,96
2015-2-27,45,GOOD,62,MODERATE,PM2.5,8,3,50,46,19,62,8,2,72,7,10,30.16,0,,187
2015-2-28,62,MODERATE,81,MODERATE,PM2.5,13,6,60,47,30,81,12,6,78,5,9,30.14,0,,241
2015-3-1,81,MODERATE,88,MODERATE,PM2.5,9,3,53,47,29,88,17,12,80,5,8,30.3,0,,157
