Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-1-1,59,MODERATE,72,MODERATE,PM2.5,9,0,18,29,.,72,76,68,80,5,9,30.16,0,,101
2015-1-2,72,MODERATE,30,GOOD,Ozone,7,0,23,30,.,25,78,70,79,9,10,30.19,0.01,Rain,115
2015-1-3,30,GOOD,43,GOOD,PM2.5,6,3,19,25,.,43,80,70,76,12,10,30.21,T,Rain,118
2015-1-4,43,GOOD,27,GOOD,PM2.5,5,3,17,26,10,27,79,70,76,9,10,30.23,0,,130
2015-1-5,27,GOOD,30,GOOD,PM2.5,7,1,16,27,5,30,78,69,74,6,10,30.28,0.02,,67
2015-1-6,30,GOOD,49,GOOD,PM2.5,3,0,23,30,20,49,78,68,74,6,10,30.24,0.01,,92
2015-1-7,49,GOOD,40,GOOD,Ozone,3,0,21,40,12,38,73,62,67,6,10,30.15,0,,312
2015-1-8,40,GOOD,35,GOOD,PM2.5,3,0,10,35,12,35,65,50,61,11,10,30.22,T,Rain,26
2015-1-9,35,GOOD,42,GOOD,PM2.5,6,3,32,36,11,42,72,60,69,4,10,30.2,T,,130
2015-1-10,42,GOOD,45,GOOD,PM2.5,6,0,10,37,14,45,69,61,79,8,8,30.26,T,Fog,11
2015-1-11,45,GOOD,33,GOOD,Ozone,3,0,5,33,6,29,75,68,77,12,10,30.24,0.03,Rain,81
2015-1-12,33,GOOD,42,GOOD,PM2.5,3,0,17,25,27,42,78,71,81,13,10,30.15,0.08,Rain,105
2015-1-13,42,GOOD,31,GOOD,Ozone,6,1,26,31,1,26,75,69,84,5,8,30.07,0.77,Rain,81
2015-1-14,31,GOOD,35,GOOD,PM2.5,7,1,25,27,5,35,73,67,85,6,7,30.05,0,Fog,338
2015-1-15,35,GOOD,45,GOOD,PM2.5,5,0,24,28,9,45,71,63,78,6,9,30.06,0,,323
2015-1-16,45,GOOD,32,GOOD,PM2.5,5,0,22,32,5,32,68,56,72,8,10,30.06,0,,346
2015-1-17,32,GOOD,40,GOOD,Ozone,5,0,26,40,6,30,67,55,66,8,10,30.13,0,,58
2015-1-18,40,GOOD,60,MODERATE,PM2.5,8,0,32,39,19,60,71,57,64,4,10,30.11,T,,316
2015-1-19,60,MODERATE,52,MODERATE,PM2.5,6,1,29,45,13,52,66,53,64,6,10,30.13,0,,47
2015-1-20,52,MODERATE,45,GOOD,PM2.5,9,3,31,44,12,45,70,58,65,5,10,30.05,0,,116
