Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-1-1,55,MODERATE,63,MODERATE,PM2.5,8,7,31,32,.,63,33,10,37,7,10,30.07,0,,254
2015-1-2,63,MODERATE,66,MODERATE,PM2.5,8,7,34,29,.,66,39,17,43,7,10,30.22,0,,278
2015-1-3,66,MODERATE,56,MODERATE,PM2.5,13,4,38,32,.,56,38,29,68,6,4,30.41,0.71,Rain-Snow,75
2015-1-4,56,MODERATE,55,MODERATE,PM2.5,10,4,37,24,.,55,49,43,88,6,6,29.88,0.3,Rain,274
2015-1-5,55,MODERATE,45,GOOD,PM2.5,7,3,20,35,.,45,35,10,38,11,10,30.13,0,,291
2015-1-6,45,GOOD,64,MODERATE,PM2.5,9,7,38,32,11,64,21,9,57,4,5,30.23,0.05,Snow,276
2015-1-7,64,MODERATE,60,MODERATE,PM2.5,9,9,30,32,.,60,16,1,49,13,10,30.04,0,,292
2015-1-8,60,MODERATE,54,MODERATE,PM2.5,8,11,35,31,.,54,15,-4,48,9,10,30.34,0,,275
2015-1-9,54,MODERATE,56,MODERATE,PM2.5,8,14,34,29,.,56,26,11,57,9,6,30.06,0.07,Snow,259
2015-1-10,56,MODERATE,60,MODERATE,PM2.5,8,11,27,32,.,60,20,-1,41,8,10,30.44,0,,277
2015-1-11,60,MODERATE,60,MODERATE,PM2.5,10,13,37,30,.,60,28,6,38,6,10,30.59,0,,258
2015-1-12,60,MODERATE,68,MODERATE,PM2.5,16,7,48,27,18,68,37,31,64,4,5,30.23,0.36,Rain,284
2015-1-13,68,MODERATE,56,MODERATE,PM2.5,11,6,41,33,.,56,27,13,61,9,10,30.5,0,,22
2015-1-14,56,MODERATE,79,MODERATE,PM2.5,8,9,42,28,.,79,24,12,56,6,10,30.38,0,,43
2015-1-15,79,MODERATE,65,MODERATE,PM2.5,9,10,37,31,.,65,30,16,55,5,10,30.06,0,,304
2015-1-16,65,MODERATE,64,MODERATE,PM2.5,9,11,37,37,.,64,32,12,45,10,10,29.94,0,,282
2015-1-17,64,MODERATE,47,GOOD,PM2.5,9,7,39,36,.,47,25,5,41,6,10,30.32,0,,271
2015-1-18,47,GOOD,78,MODERATE,PM2.5,16,10,57,32,16,78,37,34,77,4,4,29.88,2.1,Fog-Rain,35
2015-1-19,78,MODERATE,72,MODERATE,NO2,13,6,72,30,.,47,39,25,62,8,10,29.81,0,,283
2015-1-20,72,MODERATE,62,MODERATE,NO2,6,6,62,34,.,50,36,18,47,6,10,29.93,0,,287
2015-1-21,62,MODERATE,61,MODERATE,PM2.5,13,7,57,36,.,61,31,9,38,4,10,30.13,0,,33
2015-1-22,61,MODERATE,65,MODERATE,PM2.5,10,10,48,30,.,65,36,19,56,6,7,30.22,0,,318
2015-1-23,65,MODERATE,70,MODERATE,PM2.5,10,9,45,34,.,70,34,17,50,6,10,30.21,0,,267
2015-1-24,70,MODERATE,64,MODERATE,PM2.5,10,7,41,26,19,64,36,30,71,6,4,29.57,0.72,Fog-Rain-Snow,358
2015-1-25,64,MODERATE,50,GOOD,PM2.5,6,7,24,37,.,50,37,17,48,6,10,29.76,0,,281
2015-1-26,50,GOOD,68,MODERATE,PM2.5,7,6,44,35,.,68,27,16,61,13,3,29.9,0.48,Fog-Snow,53
2015-1-27,68,MODERATE,57,MODERATE,PM2.5,7,6,22,37,.,57,25,15,66,8,5,29.7,0.36,Fog-Snow,354
2015-1-28,57,MODERATE,74,MODERATE,NO2,17,9,74,38,.,54,25,2,45,8,10,30.06,0,,309
2015-1-29,74,MODERATE,55,MODERATE,NO2,18,13,55,35,.,52,28,13,52,4,9,30.19,0.02,Snow,268
2015-1-30,55,MODERATE,52,MODERATE,PM2.5,10,7,46,38,13,52,29,22,63,11,6,29.91,0.06,Snow,288
2015-1-31,52,MODERATE,52,MODERATE,PM2.5,5,4,31,40,.,52,20,-1,41,12,10,30.12,0,,307
2015-2-1,52,MODERATE,68,MODERATE,PM2.5,10,10,42,37,.,68,28,19,66,4,7,30.13,0.03,Snow,193
2015-2-2,68,MODERATE,61,MODERATE,PM2.5,11,6,41,34,.,61,24,24,80,10,3,29.6,1.02,Fog-Rain-Snow,44
2015-2-3,61,MODERATE,59,MODERATE,PM2.5,10,9,52,37,.,59,20,8,60,7,9,30.22,0,,271
2015-2-4,59,MODERATE,73,MODERATE,PM2.5,15,19,73,32,.,73,34,21,56,4,9,30.14,0,,241
